id	parent_id	scientific_name	rank	extinct	english_label	wikidata_id	wikipedia_url	source_id
737YR	BJ6NS	Megacyllene caryae	species	false	Painted hickory borer	Q14827555	https://en.wikipedia.org/wiki/Megacyllene_caryae	1032
737YT	BJ6NS	Megacyllene angulata	species	false	Megacyllene angulata	Q14827561	https://en.wikipedia.org/wiki/Megacyllene_angulata	1032
737Z5	BJ6NS	Megacyllene angulifera	species	false	Megacyllene angulifera	Q14827560	https://en.wikipedia.org/wiki/Megacyllene_angulifera	1032
737Z6	BJ6NS	Megacyllene acuta	species	false	Megacyllene acuta	Q14827565	https://en.wikipedia.org/wiki/Megacyllene_acuta	1032
7383J	5MSM	Megaloglossus azagnyi	species	false	Megaloglossus azagnyi	Q31072941	https://en.wikipedia.org/wiki/Azagnyi_fruit_bat	2144
7383K	BJBWK	Megalofrea humeralis	species	false	Megalofrea humeralis	Q14827421	https://en.wikipedia.org/wiki/Megalofrea_humeralis	1032
7384D	5MT9	Megalomyrmex drifti	species	false	Megalomyrmex drifti	Q13826223	https://en.wikipedia.org/wiki/Megalomyrmex_drifti	54937
7384F	5MT9	Megalomyrmex acauna	species	false	Megalomyrmex acauna	Q13826154	https://en.wikipedia.org/wiki/Megalomyrmex_acauna	54937
7384G	5MT6	Megalomus tortricoides	species	false	Megalomus tortricoides	Q7733646	https://en.wikipedia.org/wiki/Megalomus_tortricoides	1055
7384L	5MT6	Megalomus moestus	species	false	Megalomus moestus	Q2368431	https://en.wikipedia.org/wiki/Megalomus_moestus	1055
7386	626GY	Pseudopostega	genus					1172
7386Q	7PFXF	Megalorchestia corniculata	species	false	Megalorchestia corniculata	Q4470384	https://en.wikipedia.org/wiki/Megalorchestia_corniculata	1202
7386Z	5N2J	Megascops clarkii	species	false	Bare-shanked Screech Owl	Q1260341	https://en.wikipedia.org/wiki/Bare-shanked_screech_owl	2144
73872	62ZBY	Megalorhipida dulcis	species	false	Megalorhipida dulcis	Q10792305	https://en.wikipedia.org/wiki/Megalorhipida_dulcis	1199
7388Y	5N2J	Megascops seductus	species	false	Balsas Screech Owl	Q805536	https://en.wikipedia.org/wiki/Balsas_screech_owl	2144
7388Z	5N2J	Megascops koepckeae	species	false	Koepcke's Screech Owl	Q1260327	https://en.wikipedia.org/wiki/Koepcke%27s_screech_owl	2144
7389C	92F4V	Megacraspedus majorella	species	false	Megacraspedus majorella	Q13825214	https://en.wikipedia.org/wiki/Megacraspedus_majorella	2362
7389M	5MM4	Megachile tributa	species	false	Megachile tributa	Q1954587	https://en.wikipedia.org/wiki/Megachile_tributa	2144
7389N	5MM4	Megachile strandi	species	false	Megachile strandi	Q2719994	https://en.wikipedia.org/wiki/Megachile_strandi	2144
7389P	5MM4	Megachile simpliciformis	species	false	Megachile simpliciformis	Q10792248	https://en.wikipedia.org/wiki/Megachile_simpliciformis	2144
7389Q	5MM4	Megachile silvapis	species	false	Megachile silvapis	Q2749477	https://en.wikipedia.org/wiki/Megachile_silvapis	2144
7389R	5MM4	Megachile setosa	species	false	Megachile setosa	Q1940656	https://en.wikipedia.org/wiki/Megachile_setosa	2144
7389S	5MM4	Megachile rufopilosa	species	false	Megachile rufopilosa	Q5033971	https://en.wikipedia.org/wiki/Megachile_rufopilosa	2144
7389T	5MM4	Megachile riggenbachiana	species	false	Megachile riggenbachiana	Q2147799	https://en.wikipedia.org/wiki/Megachile_riggenbachiana	2144
7389V	5MM4	Megachile remeata	species	false	Megachile remeata	Q10792241	https://en.wikipedia.org/wiki/Megachile_remeata	2144
7389W	5MM4	Megachile prudens	species	false	Megachile prudens	Q10792234	https://en.wikipedia.org/wiki/Megachile_prudens	2144
7389X	5MM4	Megachile oculiformis	species	false	Megachile oculiformis	Q2265864	https://en.wikipedia.org/wiki/Megachile_oculiformis	2144
7389Z	5MM4	Megachile lineatipes	species	false	Megachile lineatipes	Q10792213	https://en.wikipedia.org/wiki/Megachile_lineatipes	2144
738GK	5MM4	Megachile epixanthula	species	false	Megachile epixanthula	Q2039407	https://en.wikipedia.org/wiki/Megachile_epixanthula	2144
738GL	5MM4	Megachile disjuncta	species	false	Megachile disjuncta	Q3056244	https://en.wikipedia.org/wiki/Megachile_disjuncta	2144
738GM	5MM4	Megachile cygnorum	species	false	Megachile cygnorum	Q2424410	https://en.wikipedia.org/wiki/Megachile_cygnorum	2144
738GN	5MM4	Megachile concolor	species	false	Megachile concolor	Q2591930	https://en.wikipedia.org/wiki/Megachile_concolor	2144
738GP	5MM4	Megachile cognata	species	false	Megachile cognata	Q2204353	https://en.wikipedia.org/wiki/Megachile_cognata	2144
738GQ	5MM4	Megachile clypeosinuata	species	false	Megachile clypeosinuata	Q2378104	https://en.wikipedia.org/wiki/Megachile_clypeosinuata	2144
738GR	5MM4	Megachile circumcincta	species	false	Megachile circumcincta	Q2488630	https://en.wikipedia.org/wiki/Megachile_circumcincta	2144
738GS	5MM4	Megachile chyzeri	species	false	Megachile chyzeri	Q2240852	https://en.wikipedia.org/wiki/Megachile_chyzeri	2144
738GT	5MM4	Megachile chlorura	species	false	Megachile chlorura	Q4388354	https://en.wikipedia.org/wiki/Megachile_chlorura	2144
738GW	5MM4	Megachile beutenmulleri	species	false	Megachile beutenmulleri	Q2009515	https://en.wikipedia.org/wiki/Megachile_beutenmulleri	2144
738GX	5MM4	Megachile bella	species	false	Megachile bella	Q2181286	https://en.wikipedia.org/wiki/Megachile_bella	2144
